CCTV4K,udp://239.94.0.20:5140
北京卫视4K,udp://239.94.0.111:5140
北京卫视4K,udp://239.94.0.112:5140
东方卫视4K,udp://239.94.0.119:5140
广东卫视4K,udp://239.94.0.114:5140
深圳卫视4K,udp://239.94.0.113:5140
湖南卫视4K,udp://239.94.0.116:5140
山东卫视4K,udp://239.94.0.120:5140
四川卫视4K,udp://239.94.0.115:5140
浙江卫视4K,udp://239.94.0.118:5140
江苏卫视4K,udp://239.94.0.117:5140
欢笑剧场4K,udp://239.94.1.176:5140
爱上4K,udp://239.94.0.21:5140
4K乐享超清,udp://239.94.1.162:5140
4K少儿,udp://239.94.1.70:5140
4K纪实,udp://239.94.1.69:5140
4K视界,udp://239.94.1.60:5140
亲子趣学,udp://239.94.1.156:5140
睛彩亲子4K,rtp://239.93.5.236:8094
睛彩绚影4K,rtp://239.93.4.248:8800
睛彩亲子HD,rtp://239.93.5.233:8082
天翼高清4K,udp://239.94.2.40:5140
天翼高清4K,udp://239.94.2.41:5140
绚影4K,udp://239.94.1.150:5140
CCTV1,udp://239.94.0.1:5140
CCTV1,udp://239.94.2.34:5140
CCTV1,udp://239.94.1.18:5140
CCTV1,udp://239.94.1.151:5140
CCTV1,udp://239.94.0.31:5140
CCTV1,udp://239.94.2.69:5140
CCTV2,udp://239.94.2.70:5140
CCTV2,udp://239.94.0.2:5140
CCTV2,udp://239.94.2.35:5140
CCTV3,udp://239.94.0.32:5140
CCTV3,udp://239.94.0.3:5140
CCTV4,udp://239.94.0.4:5140
CCTV5,udp://239.94.0.33:5140
CCTV5,udp://239.94.2.30:5140
CCTV5,udp://239.94.0.5:5140
CCTV5+,udp://239.94.0.19:5140
CCTV5+,udp://239.94.0.23:5140
CCTV6,udp://239.94.0.6:5140
CCTV6,udp://239.94.2.33:5140
CCTV6,udp://239.94.0.34:5140
CCTV7,udp://239.94.0.7:5140
CCTV8,udp://239.94.0.8:5140
CCTV8,udp://239.94.0.35:5140
CCTV8,udp://239.94.2.29:5140
CCTV9,udp://239.94.2.32:5140
CCTV9,udp://239.94.0.9:5140
CCTV10,udp://239.94.0.10:5140
CCTV10,udp://239.94.2.31:5140
CCTV11,udp://239.94.0.11:5140
CCTV11,udp://239.94.0.36:5140
CCTV12,udp://239.94.0.12:5140
CCTV13,udp://239.94.0.13:5140
CCTV13,udp://239.94.0.37:5140
CCTV14,udp://239.94.0.14:5140
CCTV15,udp://239.94.0.15:5140
CCTV15,udp://239.94.0.38:5140
CCTV17,udp://239.94.0.39:5140
CCTV17,udp://239.94.0.17:5140
CETV1,udp://239.94.1.2:5140
CETV4,udp://239.94.1.20:5140
CGTN,udp://239.94.0.22:5140
CGTN,udp://239.94.0.40:5140
CGTN西语,udp://239.94.1.61:5140
CGTN西语,udp://239.94.1.65:5140
CGTN法语,udp://239.94.1.62:5140
CGTN法语,udp://239.94.1.66:5140
CHC影迷电影,udp://239.94.1.174:5140
CHC家庭影院,udp://239.94.1.173:5140
CHC动作电影,udp://239.94.1.175:5140
梨园频道,udp://239.94.1.16:5140
天元围棋,udp://239.94.1.152:5140
法治天地,udp://239.94.1.166:5140
游戏风云,udp://239.94.1.46:5140
茶频道,udp://239.94.1.154:5140
金色学堂,udp://239.94.1.165:5140
金鹰纪实,udp://239.94.1.1:5140
环球旅游,udp://239.94.1.147:5140
快乐垂钓,udp://239.94.1.153:5140
生活时尚,udp://239.94.1.146:5140
中国交通,udp://239.94.0.87:5140
中国天气,udp://239.94.1.167:5140
乐游,udp://239.94.1.164:5140
动漫秀场,udp://239.94.1.171:5140
重庆卫视,udp://239.94.0.82:5140
江苏卫视,udp://239.94.0.62:5140
浙江卫视,udp://239.94.0.63:5140
东方卫视,udp://239.94.0.64:5140
深圳卫视,udp://239.94.0.66:5140
北京卫视,udp://239.94.0.65:5140
山东卫视,udp://239.94.0.69:5140
天津卫视,udp://239.94.0.68:5140
贵州卫视,udp://239.94.0.83:5140
四川卫视,udp://239.94.0.60:5140
四川卫视,udp://239.94.0.59:5140
云南卫视,udp://239.94.0.90:5140
广西卫视,udp://239.94.0.89:5140
黑龙江卫视,udp://239.94.0.81:5140
安徽卫视,udp://239.94.0.85:5140
江西卫视,udp://239.94.0.79:5140
湖北卫视,udp://239.94.0.84:5140
陕西卫视,udp://239.94.0.92:5140
东南卫视,udp://239.94.0.80:5140
吉林卫视,udp://239.94.0.91:5140
辽宁卫视,udp://239.94.0.101:5140
湖南卫视,udp://239.94.0.61:5140
广东卫视,udp://239.94.0.67:5140
河南卫视,udp://239.94.0.88:5140
河北卫视,udp://239.94.0.86:5140
宁夏卫视,udp://239.94.0.96:5140
甘肃卫视,udp://239.94.0.99:5140
新疆卫视,udp://239.94.0.98:5140
西藏卫视,udp://239.94.0.97:5140
兵团卫视,udp://239.94.0.102:5140
康巴卫视,udp://239.94.0.78:5140
凤凰中文,udp://239.94.2.51:5140
凤凰中文,udp://239.94.2.52:5140
凤凰资讯,udp://239.94.2.49:5140
凤凰资讯,udp://239.94.2.50:5140
北京纪实科教,udp://239.94.0.109:5140
东方财经,udp://239.94.1.59:5140
都市剧场,udp://239.94.1.133:5140
四川文化旅游,udp://239.94.0.71:5140
四川文化旅游,udp://239.94.1.11:5140
四川文化旅游,udp://239.94.1.5:5140
四川文化旅游,udp://239.94.1.6:5140
四川经济,udp://239.94.0.70:5140
四川新闻,udp://239.94.0.72:5140
四川新闻,udp://239.94.1.3:5140
四川新闻,udp://239.94.2.26:5140
四川影视文艺,udp://239.94.0.73:5140
四川星空购物,udp://239.94.0.74:5140
四川妇女儿童,udp://239.94.0.75:5140
四川科教,udp://239.94.0.76:5140
四川乡村,udp://239.94.0.77:5140
四川乡村,udp://239.94.1.4:5140
四川乡村,udp://239.94.1.8:5140
峨眉电影,udp://239.94.0.103:5140
四川峨眉,rtp://239.93.5.116:8696
成都综合,udp://239.94.0.154:5140
成都经济,udp://239.94.0.155:5140
成都都市,udp://239.94.0.156:5140
成都影视,udp://239.94.0.157:5140
成都公共,udp://239.94.0.158:5140
成都少儿,udp://239.94.0.159:5140
成都蓉城先锋,udp://239.94.0.160:5140
成都蓉城先锋,udp://239.94.1.57:5140
乐山综合,udp://239.94.0.162:5140
乐山文旅生活,udp://239.94.0.173:5140
自贡综合,udp://239.94.0.169:5140
自贡文化生活,udp://239.94.0.178:5140
广元综合,udp://239.94.0.167:5140
广元文化生活,udp://239.94.0.179:5140
德阳新闻综合,udp://239.94.0.176:5140
德阳文旅科教,udp://239.94.0.165:5140
内江综合,udp://239.94.0.164:5140
内江科教生活,udp://239.94.0.181:5140
凉山综合,udp://239.94.0.171:5140
凉山彝语综合,udp://239.94.0.175:5140
资阳综合,udp://239.94.0.183:5140
宜宾公共,udp://239.94.0.172:5140
宜宾综合,udp://239.94.0.161:5140
攀枝花综合,udp://239.94.0.168:5140
泸州综合,udp://239.94.0.163:5140
泸州科教生活,udp://239.94.0.182:5140
雅安综合,udp://239.94.0.166:5140
雅安文化生活,udp://239.94.0.180:5140
眉山综合,udp://239.94.0.170:5140
眉山文旅乡村,udp://239.94.0.174:5140
财富天下,udp://239.94.1.67:5140
财富天下,udp://239.94.1.42:5140
少儿动画,udp://239.94.1.33:5140
魅力时尚,udp://239.94.1.39:5140
爱体育,udp://239.94.1.44:5140
求索记录,udp://239.94.1.142:5140
热播剧场,udp://239.94.1.25:5140
经典电影,udp://239.94.1.21:5140
音乐现场,udp://239.94.1.36:5140
精彩导视,udp://239.94.1.63:5140
精彩影视,udp://239.94.1.172:5140
爱生活,udp://239.94.1.41:5140
爱体育,udp://239.94.1.143:5140
iHOT爱动漫,udp://239.94.1.141:5140
iHOT爱历史,udp://239.94.1.135:5140
