CETV-1,rtp://239.11.0.139:5140
CETV-2,rtp://239.11.0.246:5140
CETV-4,rtp://239.11.0.248:5140
CHC动作电影,rtp://239.10.0.87:5140
CHC家庭影院,rtp://239.10.0.86:5140
CHC影迷电影,rtp://239.10.0.88:5140
凤凰中文,rtp://239.11.0.153:5140
凤凰资讯,rtp://239.11.0.154:5140
BEST体育,rtp://239.11.0.235:5140
BEST体育,rtp://239.11.0.237:5140
BEST体育,rtp://239.11.0.238:5140
HOT爱体育,rtp://239.10.0.170:5140
NewTV搏击,rtp://239.11.0.146:5140
NEWTV精品体育,rtp://239.11.0.134:5140
PP体育直播-1,rtp://239.10.0.232:5140
PP体育直播-2,rtp://239.10.0.233:5140
PP体育直播-3,rtp://239.10.0.234:5140
PP体育直播-4,rtp://239.10.0.236:5140
先锋乒羽,rtp://239.10.0.90:5140
江苏篮球,rtp://239.10.0.166:5140
超级体育,rtp://239.10.0.168:5140
超级体育2,rtp://239.11.0.232:5140
高尔夫网球,rtp://239.10.0.224:5140
CGTN俄语,rtp://239.11.0.82:5140
CGTN法语,rtp://239.11.0.80:5140
CGTN英语,rtp://239.11.0.245:5140
CGTN西语,rtp://239.11.0.79:5140
CGTN记录,rtp://239.11.0.138:5140
CGTN阿语,rtp://239.11.0.81:5140
Channel[V],rtp://239.11.0.155:5140
CHD爱电影,rtp://239.10.0.191:5140
HOT爱动漫,rtp://239.10.0.165:5140
HOT爱喜剧,rtp://239.10.0.143:5140
HOT爱奇谈,rtp://239.10.0.162:5140
HOT爱家庭,rtp://239.10.0.155:5140
HOT爱怀旧,rtp://239.10.0.161:5140
HOT爱悬疑,rtp://239.10.0.149:5140
HOT爱探索,rtp://239.10.0.171:5140
HOT爱浪漫,rtp://239.10.0.148:5140
HOT爱科学,rtp://239.10.0.172:5140
HOT爱科幻,rtp://239.10.0.146:5140
HOT爱谍战,rtp://239.10.0.152:5140
HOT爱都市,rtp://239.10.0.154:5140
HOT爱院线,rtp://239.10.0.147:5140
HOT爱青春,rtp://239.10.0.160:5140
HOT经典,rtp://239.10.0.151:5140
IPTV热播剧场,rtp://239.10.0.121:5140
IPTV经典电影,rtp://239.10.0.122:5140
IPTV谍战剧场,rtp://239.10.0.123:5140
IPTV高网,rtp://239.10.0.164:5140
4K超高清电影,rtp://239.10.0.187:5140
NEWTV健康有约,rtp://239.11.0.133:5140
NEWTV军事评论,rtp://239.11.0.136:5140
NEWTV军旅剧场,rtp://239.11.0.143:5140
NEWTV农业致富,rtp://239.11.0.137:5140
NEWTV动作电影,rtp://239.11.0.142:5140
NEWTV古装剧场,rtp://239.11.0.141:5140
NEWTV家庭剧场,rtp://239.11.0.131:5140
NEWTV惊悚悬疑,rtp://239.11.0.144:5140
NewTV明星大片,rtp://239.11.0.147:5140
NewTV海外剧场,rtp://239.11.0.145:5140
NewTV爱情喜剧,rtp://239.11.0.149:5140
NewTV精品大剧,rtp://239.11.0.150:5140
