CCTV1,rtp://239.77.0.86:5146
CCTV2,rtp://239.77.0.137:5146
CCTV3,rtp://239.77.0.169:5146
CCTV4,rtp://239.77.0.78:5146
CCTV4欧洲,rtp://239.253.43.120:5146
CCTV4美洲,rtp://239.253.43.121:5146
CCTV5,rtp://239.77.0.170:5146
CCTV5+,rtp://239.77.0.87:5146
CCTV6,rtp://239.77.0.171:5146
CCTV7,rtp://239.77.0.138:5146
CCTV8,rtp://239.77.0.172:5146
CCTV9,rtp://239.77.0.135:5146
CCTV10,rtp://239.77.0.134:5146
CCTV11,rtp://239.77.1.108:5146
CCTV12,rtp://239.77.0.136:5146
CCTV13,rtp://239.253.43.196:5146
CCTV14,rtp://239.77.0.133:5146
CCTV15,rtp://239.77.1.239:5146
CCTV17,rtp://239.77.0.198:5146
CETV1,rtp://239.77.0.200:5146
CETV4,rtp://239.253.43.114:5146
CETV早期教育,rtp://239.77.0.180:5146
CGTN,rtp://239.77.0.199:5146
CGTN纪录,rtp://239.253.43.122:5146
CGTN阿语,rtp://239.253.43.200:5146
CGTN俄语,rtp://239.253.43.201:5146
CGTN西语,rtp://239.77.0.221:5146
CGTN法语,rtp://239.77.0.228:5146
第一剧场,rtp://239.253.43.15:5146
风云剧场,rtp://239.253.43.26:5146
风云足球,rtp://239.253.43.14:5146
风云音乐,rtp://239.253.43.29:5146
世界地理,rtp://239.253.43.7:5146
电视指南,rtp://239.253.43.19:5146
怀旧剧场,rtp://239.253.43.5:5146
兵器科技,rtp://239.253.43.18:5146
女性时尚,rtp://239.253.43.8:5146
高尔夫网球,rtp://239.253.43.22:5146
央视台球,rtp://239.253.43.11:5146
央视文化精品,rtp://239.253.43.27:5146
天元围棋,rtp://239.253.43.98:5146
卫生健康,rtp://239.77.0.212:5146
茶频道,rtp://239.77.0.15:5146
金鹰纪实,rtp://239.77.0.160:5146
快乐垂钓,rtp://239.77.0.145:5146
中国天气,rtp://239.77.1.2:5146
CCTV16,rtp://239.77.0.165:5146
重庆卫视,rtp://239.77.0.182:5146
江苏卫视,rtp://239.77.1.18:5146
浙江卫视,rtp://239.77.0.89:5146
东方卫视,rtp://239.77.1.218:5146
深圳卫视,rtp://239.77.0.92:5146
北京卫视,rtp://239.77.0.91:5146
山东卫视,rtp://239.77.0.94:5146
天津卫视,rtp://239.77.0.131:5146
贵州卫视,rtp://239.77.1.221:5146
四川卫视,rtp://239.77.0.159:5146
云南卫视,rtp://239.253.43.100:5146
广西卫视,rtp://239.77.0.139:5146
黑龙江卫视,rtp://239.77.0.93:5146
安徽卫视,rtp://239.77.0.183:5146
江西卫视,rtp://239.77.1.219:5146
湖北卫视,rtp://239.77.0.95:5146
东南卫视,rtp://239.77.0.146:5146
吉林卫视,rtp://239.77.1.111:5146
辽宁卫视,rtp://239.77.1.103:5146
湖南卫视,rtp://239.77.1.5:5146
广东卫视,rtp://239.77.0.84:5146
大湾区卫视,rtp://239.77.0.215:5146
河南卫视,rtp://239.77.0.17:5146
河北卫视,rtp://239.77.1.214:5146
宁夏卫视,rtp://239.77.0.49:5146
甘肃卫视,rtp://239.77.0.189:5146
青海卫视,rtp://239.253.43.125:5146
新疆卫视,rtp://239.77.0.47:5146
西藏卫视,rtp://239.77.1.26:5146
兵团卫视,rtp://239.77.0.48:5146
三沙卫视,rtp://239.253.43.113:5146
金鹰卡通,rtp://239.77.0.164:5146
嘉佳卡通,rtp://239.77.0.179:5146
睛彩竞技,rtp://239.77.1.20:5146
睛彩广场舞,rtp://239.77.1.23:5146
睛彩篮球,rtp://239.77.1.21:5146
睛彩青少,rtp://239.77.1.22:5146
广东少儿,rtp://239.77.0.250:5146
岭南戏曲,rtp://239.77.0.122:5146
深圳少儿,rtp://239.77.1.244:5146
IPTV少儿动画,rtp://239.77.1.91:5146
IPTV热播剧场,rtp://239.77.1.90:5146
IPTV经典电影,rtp://239.77.1.89:5146
IPTV魅力时尚,rtp://239.77.1.88:5146
华数少儿动画,rtp://239.77.0.109:5146
华数热播剧场,rtp://239.77.0.106:5146
华数爱大剧1,rtp://239.77.0.105:5146
华数爱大剧2,rtp://239.77.0.110:5146
华数爱电影,rtp://239.77.0.103:5146
华数爱电影,rtp://239.77.1.138:5146
华数电视剧,rtp://239.77.1.82:5146
华数谍战剧场,rtp://239.77.1.83:5146
央视网CCTV3,rtp://239.77.0.107:5146
央视网CCTV3,rtp://239.77.1.78:5146
央视网CCTV3,rtp://239.77.0.111:5146
央视网CCTV5,rtp://239.77.0.176:5146
央视网CCTV5,rtp://239.77.1.77:5146
央视网CCTV11,rtp://239.77.0.100:5146
央视网CCTV12,rtp://239.77.0.102:5146
求索记录,rtp://239.77.0.21:5146
IPTV谍战剧场,rtp://239.77.0.99:5146
IPTV相声小品,rtp://239.77.1.84:5146
IPTV野外,rtp://239.77.1.85:5146
IPTV野外,rtp://239.77.0.101:5146
IPTV法治,rtp://239.77.1.86:5146
