广东珠江FHD,udp://239.20.0.63:3148
四川卫视FHD,udp://239.20.0.82:3072
金鹰纪实FHD,udp://239.20.0.85:3060
辽宁卫视FHD,udp://239.20.0.86:3056
山东卫视FHD,udp://239.20.0.88:3048
天津卫视FHD,udp://239.20.0.89:3044
湖北卫视FHD,udp://239.20.0.90:3040
黑龙江卫视FHD,udp://239.20.0.91:3036
深圳卫视FHD,udp://239.20.0.92:3032
江苏卫视FHD,udp://239.20.0.93:3028
浙江卫视FHD,udp://239.20.0.94:3024
湖南卫视FHD,udp://239.20.0.95:3020
广东体育FHD,udp://239.20.0.97:3012
广东科教FHD,udp://239.20.0.98:3008
广东卫视FHD,udp://239.20.0.99:3004
CCTV-1FHD,udp://239.20.0.96:3016
CCTV1,udp://239.20.0.104:2006
CCTV2,udp://239.20.0.197:2192
CCTV3,udp://239.20.0.28:3292
CCTV4,udp://239.20.0.16:3340
CCTV5,udp://239.20.0.30:3284
CCTV5+,udp://239.20.0.203:2204
CCTV6,udp://239.20.0.29:3288
CCTV7,udp://239.20.0.198:2194
CCTV8,udp://239.20.0.31:3280
CCTV9,udp://239.20.0.199:2196
CCTV10,udp://239.20.0.200:2198
CCTV11,udp://239.21.0.35:3480
CCTV12,udp://239.20.0.201:2200
CCTV13,udp://239.21.0.88:3692
CCTV14,udp://239.20.0.202:2202
CCTV15,udp://239.21.0.36:3484
CCTV17,udp://239.20.0.7:3376
电影测试-4K,udp://239.21.0.129:3860
南国都市-4K,udp://239.21.0.132:3872
广东综艺-4K1,udp://239.20.0.59:3164
广东综艺-4K2,udp://239.20.0.60:3160
广东综艺-4K3,udp://239.20.0.61:3156
广东综艺-4K4,udp://239.20.0.62:3152
CBN每日影院,udp://239.21.0.125:3844
CBN风尚生活,udp://239.21.0.126:3848
CBN幸福剧场,udp://239.21.0.127:3852
CBN幸福娱乐,udp://239.21.0.128:3856
CHC高清电影,udp://239.21.0.119:3820
CCTV4欧洲,udp://239.21.0.107:3768
CCTV4美洲,udp://239.21.0.108:3772
CGTN英语,udp://239.21.0.109:3776
CGTN记录,udp://239.21.0.110:3780
CGTN西语,udp://239.21.0.111:3800
CGTN法语,udp://239.21.0.112:3788
CGTN阿语,udp://239.21.0.113:3792
CGTN俄语,udp://239.21.0.114:3796
CCTV第一剧场,udp://239.21.0.69:3616
CCTV风云足球,udp://239.21.0.70:3620
CCTV央视台球,udp://239.21.0.71:3624
CCTV央视网球,udp://239.21.0.72:3628
CCTV女性时尚,udp://239.21.0.73:3632
CCTV世界地理,udp://239.21.0.74:3636
CCTV怀旧剧场,udp://239.21.0.75:3640
CCTV风云剧场,udp://239.21.0.76:3644
CCTV央视精品,udp://239.21.0.77:3648
CCTV第一剧场,udp://239.21.0.78:3652
CCTV风云音乐,udp://239.21.0.79:3656
CCTV兵器科技,udp://239.21.0.80:3660
CCTV电视指南,udp://239.21.0.81:3664
广东卫视,udp://239.20.0.101:2000
广东珠江,udp://239.20.0.64:3144
大湾区卫视,udp://239.21.0.84:3676
广东影视,udp://239.21.0.85:3680
广东公共,udp://239.21.0.86:3684
广东少儿,udp://239.21.0.87:3688
嘉佳卡通,udp://239.21.0.94:3716
广东新闻,udp://239.21.0.93:3712
广东科教,udp://239.20.0.102:2002
广东体育,udp://239.20.0.103:2004
惠州综合,udp://239.21.0.27:3448
惠州公共,udp://239.21.0.28:3452
河源综合,udp://239.21.0.48:3532
河源公共,udp://239.21.0.49:3536
汕尾综合,udp://239.21.0.89:3696
汕尾生活,udp://239.21.0.90:3700
揭阳综合,udp://239.21.0.91:3704
揭阳生活,udp://239.21.0.92:3708
汕头综合,udp://239.21.0.101:3744
汕头生活,udp://239.21.0.102:3748
汕头文化,udp://239.21.0.103:3752
东莞综合,udp://239.21.0.137:3892
东莞资讯,udp://239.21.0.138:3896
广西卫视,udp://239.20.0.15:3344
吉林卫视,udp://239.20.0.54:3184
江西卫视,udp://239.20.0.55:3180
河北卫视,udp://239.20.0.56:3176
上海纪实,udp://239.20.0.57:3172
东南卫视,udp://239.20.0.58:3168
河南卫视,udp://239.21.0.104:3756
湖南卫视,udp://239.20.0.105:2008
北京卫视,udp://239.20.0.121:2040
深圳卫视,udp://239.20.0.122:2042
黑龙江卫视,udp://239.20.0.123:2044
湖北卫视,udp://239.20.0.124:2046
浙江卫视,udp://239.20.0.169:2136
江苏卫视,udp://239.20.0.170:2138
天津卫视,udp://239.20.0.171:2140
山东卫视,udp://239.20.0.172:2142
东方卫视,udp://239.20.0.173:2144
辽宁卫视,udp://239.20.0.175:2148
安徽卫视,udp://239.20.0.193:2184
四川卫视,udp://239.20.0.194:2186
重庆卫视,udp://239.20.0.195:2188
贵州卫视,udp://239.20.0.212:2222
教育卫视,udp://239.20.0.213:2224
云南卫视,udp://239.21.0.133:3876
海南卫视,udp://239.21.0.134:3880
金鹰纪实,udp://239.20.0.196:2190
求索记录,udp://239.21.0.118:3816
金鹰卡通,udp://239.21.0.115:3804
早期教育,udp://239.21.0.106:3764
中国交通,udp://239.20.0.68:3128
快乐垂钓,udp://239.21.0.121:3828
茶频道,udp://239.21.0.120:3824







