
金鹰纪实FHD,udp://239.10.0.59:1025
四川卫视FHD,udp://239.10.0.60:1025
CGTN英语,udp://239.11.0.103:1025
CGTN纪录,udp://239.11.0.104:1025
CGTN牙语,udp://239.11.0.105:1025
CGTN法语,udp://239.11.0.106:1025
CGTN阿语,udp://239.11.0.107:1025
CGTN俄语,udp://239.11.0.108:1025
CCTV4欧洲,udp://239.11.0.101:1025
CCTV4美洲,udp://239.11.0.102:1025
CCTV兵器科技,udp://239.11.0.57:1025
CCTV电视指南,udp://239.11.0.58:1025
CCTV风云足球,udp://239.11.0.59:1025
CCTV央视台球,udp://239.11.0.60:1025
CCTV央视网球,udp://239.11.0.61:1025
CCTV女性时尚,udp://239.11.0.62:1025
CCTV世界地理,udp://239.11.0.63:1025
CCTV怀旧剧场,udp://239.11.0.64:1025
CCTV风云剧场,udp://239.11.0.65:1025
CCTV文化精品,udp://239.11.0.66:1025
CCTV第一剧场,udp://239.11.0.67:1025
CCTV风云音乐,udp://239.11.0.68:1025
CHC高清电影,udp://239.11.0.129:1025
CBN每日影院,udp://239.11.0.163:1025
CBN风尚生活,udp://239.11.0.164:1025
CBN幸福剧场,udp://239.11.0.165:1025
CBN幸福娱乐,udp://239.11.0.166:1025
大湾区卫视,udp://239.11.0.78:1025
广东少儿,udp://239.11.0.81:1025
广东体育,udp://239.10.0.113:1025
广西卫视,udp://239.10.0.246:1025
东南卫视,udp://239.10.0.77:1025
东方卫视,udp://239.10.0.183:1025
北京卫视,udp://239.10.0.131:1025
吉林卫视,udp://239.10.0.81:1025
四川卫视,udp://239.10.0.204:1025
天津卫视,udp://239.10.0.181:1025
安徽卫视,udp://239.10.0.203:1025
山东卫视,udp://239.10.0.182:1025
江苏卫视,udp://239.10.0.180:1025
江西卫视,udp://239.10.0.80:1025
河北卫视,udp://239.10.0.79:1025
河南卫视,udp://239.11.0.94:1025
浙江卫视,udp://239.10.0.179:1025
深圳卫视,udp://239.10.0.132:1025
湖北卫视,udp://239.10.0.134:1025
湖南卫视,udp://239.10.0.115:1025
贵州卫视,udp://239.10.0.222:1025
辽宁卫视,udp://239.10.0.185:1025
重庆卫视,udp://239.10.0.205:1025
黑龙江卫视,udp://239.10.0.133:1025
教育卫视,udp://239.10.0.223:1025
云南卫视,udp://239.11.0.171:1025
海南卫视,udp://239.11.0.172:1025
上海纪实,udp://239.10.0.78:1025
北京纪实,udp://239.10.0.184:1025
金鹰纪实,udp://239.10.0.206:1025
求索生活,udp://239.10.0.86:1025
求索记录,udp://239.11.0.128:1025
嘉佳卡通,udp://239.10.0.200:1025
金鹰卡通,udp://239.11.0.125:1025
早期教育,udp://239.11.0.100:1025
中国交通,udp://239.10.0.72:1025
快乐垂钓,udp://239.11.0.131:1025
茶频道,udp://239.11.0.130:1025
咪咕-赛事1,udp://239.10.0.87:1025
咪咕-赛事2,udp://239.10.0.88:1025
咪咕-赛事3,udp://239.10.0.89:1025
咪咕-赛事4,udp://239.10.0.247:1025
咪咕-赛事5,udp://239.10.0.248:1025
咪咕-赛事6,udp://239.10.0.249:1025
咪咕-赛事7,udp://239.10.0.250:1025
咪咕-赛事8,udp://239.10.0.251:1025
咪咕-赛事9,udp://239.10.0.252:1025
咪咕-赛事10,udp://239.11.0.1:1025
咪咕-赛事11,udp://239.11.0.2:1025
咪咕-赛事12,udp://239.11.0.3:1025
咪咕-赛事13,udp://239.11.0.4:1025
咪咕-赛事14,udp://239.11.0.5:1025
咪咕-赛事15,udp://239.11.0.6:1025
咪咕-赛事16,udp://239.11.0.7:1025
咪咕-赛事17,udp://239.11.0.8:1025
咪咕-赛事18,udp://239.11.0.9:1025
咪咕-赛事19,udp://239.11.0.10:1025
咪咕-赛事20,udp://239.11.0.11:1025
咪咕-赛事21,udp://239.11.0.12:1025
咪咕-赛事22,udp://239.11.0.13:1025
咪咕-赛事23,udp://239.11.0.14:1025
咪咕-赛事24,udp://239.11.0.18:1025
咪咕-赛事25,udp://239.11.0.19:1025
咪咕-赛事26,udp://239.11.0.20:1025
咪咕-赛事27,udp://239.11.0.21:1025
咪咕-赛事28,udp://239.11.0.22:1025
广州云课堂,udp://239.11.0.150:1025
广州云课堂,udp://239.11.0.151:1025
广州云课堂,udp://239.11.0.152:1025
广州云课堂,udp://239.11.0.153:1025
广州云课堂,udp://239.11.0.154:1025
广州云课堂,udp://239.11.0.155:1025
广州云课堂,udp://239.11.0.156:1025
广州云课堂,udp://239.11.0.157:1025
广州云课堂,udp://239.11.0.158:1025
广州云课堂,udp://239.11.0.159:1025
广州云课堂,udp://239.11.0.160:1025


