重庆少儿频道,rtp://235.254.196.214:1128
重庆汽摩频道,rtp://235.254.196.221:1156
华数爱上4K,rtp://235.254.198.102:7980
华数少儿动画,rtp://235.254.198.116:1740
华数动画,rtp://235.254.198.87:1624
华数武侠剧场,rtp://235.254.198.97:1664
华数喜剧影院,rtp://235.254.198.98:1668
华数动作影院,rtp://235.254.198.99:1672
华数家庭影院,rtp://235.254.198.100:1676
华数星影,rtp://235.254.198.101:1680
华数精选,rtp://235.254.198.81:1600
华数经典电影,rtp://235.254.198.114:1732
华数城市剧场,rtp://235.254.198.74:1572
华数军旅剧场,rtp://235.254.198.75:1576
华数谍战剧场,rtp://235.254.198.117:1744
华数魅力时尚,rtp://235.254.198.115:1736
热播剧场,rtp://235.254.198.113:1728
古装剧场,rtp://235.254.198.76:1580
IPTV6华数电影,rtp://235.254.198.15:1336
IPTV少儿,rtp://235.254.199.15:7980
IPTV电视剧,rt:/p/235.254.199.74:7980
华数卡通,rtp://235.254.199.87:7980
华数电影1,rtp://235.254.199.116:7980
华数电影2,rtp://235.254.199.114:7980
华数电影3,rtp://235.254.199.81:7980
华数电影4,rtp://235.254.199.98:7980
华数电影5,rtp://235.254.199.99:7980
华数电影6,rtp://235.254.199.100:7980
华数电影7,rtp://235.254.199.101:7980
华数电视剧1,rtp://235.254.199.115:7980
华数电视剧2,rtp://235.254.199.16:7980
华数电视剧3,rtp://235.254.199.117:7980
华数电视剧4,rtp/235.254.199.113:7980
华数电视剧5,rtp://235.254.199.75:7980
华数电视剧6,rtp://235.254.199.76:7980
华数电视剧7,rtp://235.254.199.91:7980
华数电视剧8,rtp://235.254.199.97:7980

