求索纪录,rtp://235.254.199.251:7980
乐游,rtp://235.254.197.153:7980
CHC家庭影院,rtp://235.254.199.246:7980
CHC动作电影,rtp://235.254.199.247:7980
CHC影迷电影,rtp://235.254.199.248:7980
精彩影视,rtp://235.254.199.250:7980
CCTV电视指南,rtp://235.254.199.189:7980
CCTV兵器科技,rtp://235.254.199.202:7980
CCTV风云足球,rtp://235.254.199.204:7980
CCTV高尔夫网球,rtp://235.254.199.192:7980
CCTV央视台球,rtp://235.254.199.193:7980
CCTV世界地理,rtp://235.254.199.194:7980
CCTV女性时尚,rtp://235.254.199.195:7980
CCTV怀旧剧场,rtp://235.254.199.205:7980
CCTV风云剧场,rtp://235.254.199.207:7980
CCTV第一剧场,rtp://235.254.199.211:7980
CCTV风云音乐,rtp://235.254.199.208:7980
CCTV文化精品,rtp://235.254.199.210:7980
CCTV卫生健康,rtp://235.254.197.146:7980
都市剧场,rtp://235.254.197.151:7980
动漫秀场,rtp://235.254.197.152:7980
法治天地,rtp://235.254.197.154:7980
金色学堂,rtp://235.254.197.157:7980
游戏风云,rtp://235.254.197.159:7980
生活时尚,rtp://235.254.197.160:7980
魅力足球,rtp://235.254.197.173:7980
梨园频道,rtp://235.254.199.163:7980
欢笑剧场,rtp://235.254.197.150:7980
早期教育,rtp://235.254.199.201:7980
茶频道,rtp://235.254.199.198:7980
快乐垂钓,rtp://235.254.199.191:7980
中国交通,rtp://235.254.197.145:7980
CETV1,rtp://235.254.199.196:7980
CETV4,rtp://235.254.197.53:7980
爱上4K,rtp://235.254.199.102:7980
优优宝贝,rtp://235.254.197.137:7980
文物宝库,rtp://235.254.199.132:7980
东方财经,rtp://235.254.199.103:7980
IPTV少儿,http://14.109.230.125:3388/rtp/235.254.199.15:7980
IPTV电视剧,http://14.109.230.125:3388/rtp/235.254.199.74:7980
华数卡通,http://14.109.230.125:3388/rtp/235.254.199.87:7980
华数电影1,http://14.109.230.125:3388/rtp/235.254.199.116:7980
华数电影2,http://14.109.230.125:3388/rtp/235.254.199.114:7980
华数电影3,http://14.109.230.125:3388/rtp/235.254.199.81:7980
华数电影4,http://14.109.230.125:3388/rtp/235.254.199.98:7980
华数电影5,http://14.109.230.125:3388/rtp/235.254.199.99:7980
华数电影6,http://14.109.230.125:3388/rtp/235.254.199.100:7980
华数电影7,http://14.109.230.125:3388/rtp/235.254.199.101:7980
华数电视剧1,http://14.109.230.125:3388/rtp/235.254.199.115:7980
华数电视剧2,http://14.109.230.125:3388/rtp/235.254.199.16:7980
华数电视剧3,http://14.109.230.125:3388/rtp/235.254.199.117:7980
华数电视剧4,http://14.109.230.125:3388/rtp/235.254.199.113:7980
华数电视剧5,http://14.109.230.125:3388/rtp/235.254.199.75:7980
华数电视剧6,http://14.109.230.125:3388/rtp/235.254.199.76:7980
华数电视剧7,http://14.109.230.125:3388/rtp/235.254.199.91:7980
华数电视剧8,http://14.109.230.125:3388/rtp/235.254.199.97:7980
电影4,http://14.109.230.125:3388/rtp/235.254.199.95:7980
